Date,Price_Maize,Price_Millet,Price_Sorghum,Exchange_Rate,NDVI_Anomaly,NDMI_Anomaly,Rainfall_Anomaly,Price_Maize_Lag1,Price_Maize_Lag2,Price_Sorghum_Lag1,Price_Sorghum_Lag2,Price_Millet_Lag1,Price_Millet_Lag2,NDVI_Anomaly_Lag1,NDVI_Anomaly_Lag2,NDMI_Anomaly_Lag1,NDMI_Anomaly_Lag2,Rainfall_Anomaly_Lag1,Rainfall_Anomaly_Lag2,Exchange_Rate_Lag1,Exchange_Rate_Lag2
2020-07-01,15398.0,17956.0,15316.0,386.2495171881035,-0.3356928263730963,0.39115868929086856,1.8565658881519551,13202.5,11490.0,13285.0,10747.5,15070.0,19435.0,-0.38775870791791117,-0.5486365300478366,0.22773021639572466,-0.7706607671763707,-0.994086789099758,0.2672015936177748,386.1003861003861,388.34951456310677
2020-08-01,18762.5,17955.0,18550.0,383.4355828220859,-0.2670760087308408,-0.0197393311731963,1.1186514464908963,15398.0,13202.5,15316.0,13285.0,17956.0,15070.0,-0.3356928263730963,-0.38775870791791117,0.39115868929086856,0.22773021639572466,1.8565658881519551,-0.994086789099758,386.2495171881035,386.1003861003861
2020-09-01,17568.0,15756.0,19284.0,381.82512409316536,-0.2744635918511768,0.30267539285002876,0.8290650753244275,18762.5,15398.0,18550.0,15316.0,17955.0,17956.0,-0.2670760087308408,-0.3356928263730963,-0.0197393311731963,0.39115868929086856,1.1186514464908963,1.8565658881519551,383.4355828220859,386.2495171881035
2020-10-01,13440.0,14235.0,17017.5,381.0975609756097,0.4368926794615245,0.5706335244465494,-0.5046533980370008,17568.0,18762.5,19284.0,18550.0,15756.0,17955.0,-0.2744635918511768,-0.2670760087308408,0.30267539285002876,-0.0197393311731963,0.8290650753244275,1.1186514464908963,381.82512409316536,383.4355828220859
2020-11-01,14302.5,13920.0,13452.5,379.794910748196,-0.19493154414969888,0.3875644480393754,-0.44747959379709373,13440.0,17568.0,17017.5,19284.0,14235.0,15756.0,0.4368926794615245,-0.2744635918511768,0.5706335244465494,0.30267539285002876,-0.5046533980370008,0.8290650753244275,381.0975609756097,381.82512409316536
2020-12-01,15230.0,15282.0,13942.0,379.21880925293897,0.6420360645703599,-0.7558244864987466,-0.6282883389442958,14302.5,13440.0,13452.5,17017.5,13920.0,14235.0,-0.19493154414969888,0.4368926794615245,0.3875644480393754,0.5706335244465494,-0.44747959379709373,-0.5046533980370008,379.794910748196,381.0975609756097
2021-01-01,18185.0,18277.5,16910.0,380.22813688212926,1.0656445186215533,0.483447245771975,-0.6326400709601705,15230.0,14302.5,13942.0,13452.5,15282.0,13920.0,0.6420360645703599,-0.19493154414969888,-0.7558244864987466,0.3875644480393754,-0.6282883389442958,-0.44747959379709373,379.21880925293897,379.794910748196
2021-02-01,19810.0,19252.5,18412.5,378.50113550340654,0.3132515482927125,0.018586100682633097,-0.7327581483329251,18185.0,15230.0,16910.0,13942.0,18277.5,15282.0,1.0656445186215533,0.6420360645703599,0.483447245771975,-0.7558244864987466,-0.6326400709601705,-0.6282883389442958,380.22813688212926,379.21880925293897
2021-03-01,20342.0,19498.0,18714.0,379.794910748196,-0.1650851997663486,0.49534986607233267,0.9965829838872065,19810.0,18185.0,18412.5,16910.0,19252.5,18277.5,0.3132515482927125,1.0656445186215533,0.018586100682633097,0.483447245771975,-0.7327581483329251,-0.6326400709601705,378.50113550340654,380.22813688212926
2021-04-01,20445.0,20085.0,19127.5,380.22813688212926,0.07907346306122859,0.30230599588960244,-0.19618256087020527,20342.0,19810.0,18714.0,18412.5,19498.0,19252.5,-0.1650851997663486,0.3132515482927125,0.49534986607233267,0.018586100682633097,0.9965829838872065,-0.7327581483329251,379.794910748196,378.50113550340654
